Countries,code,CONTINENT,EW,Subtotal,CR,EN,VU,Subtotal,NT,LR/cd,DD,LC,Total
Afghanistan,AFG,ASIA,0,0,4,8,23,35,27,0,17,570,649
Åland Islands,NA,EUROPE,0,0,0,0,0,0,0,0,1,15,16
Albania,ALB,EUROPE,0,1,15,46,71,132,89,0,79,"1,033","1,334"
Algeria,DZA,AFRICA,1,3,14,37,70,121,58,0,140,918,"1,240"
American Samoa,NA,OCEANIA,0,1,2,17,75,94,83,3,59,"1,162","1,402"
Andorra,NA,EUROPE,0,0,0,3,11,14,20,0,8,307,349
Angola,AGO,AFRICA,0,0,12,33,77,122,60,0,233,"2,493","2,908"
Anguilla,NA,CARIBBEAN ISLANDS,0,1,6,13,34,53,20,0,71,"1,140","1,285"
Antarctica,ATA,ANTARCTICA,0,0,0,1,5,6,6,0,35,155,202
Antigua and Barbuda,NA,CARIBBEAN ISLANDS,0,3,8,11,36,55,27,0,76,"1,260","1,421"
Argentina,ARG,SOUTH AMERICA,3,6,31,56,117,204,125,0,186,"2,071","2,592"
Armenia,ARM,ASIA,0,0,6,9,28,43,38,0,16,458,555
Aruba,NA,CARIBBEAN ISLANDS,0,0,2,6,27,35,19,0,58,"1,080","1,192"
Australia,AUS,OCEANIA,0,40,110,201,597,908,443,3,623,"5,369","7,386"
Austria,AUT,EUROPE,0,3,23,28,51,102,82,0,67,834,"1,088"
Azerbaijan,AZE,ASIA,1,1,13,10,33,56,41,0,39,557,694
Bahamas,BHS,CARIBBEAN ISLANDS,0,2,12,17,54,83,35,0,139,"1,669","1,928"
Bahrain,NA,ASIA,0,0,8,10,28,46,51,0,29,603,729
Bangladesh,NA,ASIA,1,1,26,40,69,135,78,0,98,"1,526","1,838"
Barbados,BLR,CARIBBEAN ISLANDS,0,1,10,9,36,55,29,0,76,"1,265","1,426"
Belarus,BEL,ASIA,0,0,2,2,21,25,39,0,8,466,538
Belgium,BLZ,EUROPE,0,1,4,4,30,38,49,0,41,689,818
Belize,BEN,NORTH AMERICA,0,1,7,19,59,85,62,0,103,"2,016","2,267"
Benin,BMU,AFRICA,0,0,10,17,53,80,49,0,111,"1,686","1,926"
Bermuda,BOL,CARIBBEAN ISLANDS,0,5,27,10,30,67,24,0,74,926,"1,096"
Bhutan,NA,ASIA,0,0,7,14,35,56,41,0,6,698,801
"Bolivia, Plurinational States of",BIH,SOUTH AMERICA,0,0,21,29,82,132,99,2,132,"2,199","2,564"
"Bonaire, Sint Eustatius and Saba",BWA,CARIBBEAN ISLANDS,0,1,6,9,40,55,20,0,78,"1,185","1,339"
Bosnia and Herzegovina,NA,EUROPE,0,0,6,27,59,92,69,0,88,894,"1,143"
Botswana,BRA,AFRICA,0,0,4,7,19,30,29,0,10,"1,010","1,079"
Bouvet Island,NA,ANTARCTICA,0,0,0,0,3,3,0,0,3,89,95
Brazil,BRN,SOUTH AMERICA,1,10,81,126,268,475,228,9,689,"4,417","5,828"
British Indian Ocean Territory,BGR,ASIA,0,0,1,11,75,87,104,2,44,976,"1,213"
Brunei Darussalam,BFA,ASIA,0,0,11,24,70,105,120,0,86,"1,370","1,681"
Bulgaria,BDI,EUROPE,0,0,15,18,73,106,86,0,72,927,"1,191"
Burkina Faso,NA,AFRICA,1,1,5,6,18,29,22,0,3,788,843
Burundi,KHM,AFRICA,0,0,6,14,32,52,40,0,36,"1,063","1,191"
Cabo Verde,CMR,AFRICA,0,1,6,18,42,66,31,0,99,891,"1,088"
Cambodia,CAN,ASIA,0,0,30,50,153,233,168,0,186,"2,014","2,601"
Cameroon,NA,AFRICA,0,0,61,104,128,293,79,0,215,"2,640","3,227"
Canada,CAF,NORTH AMERICA,0,9,15,33,83,131,66,0,94,"1,843","2,143"
Cayman Islands,TCD,CARIBBEAN ISLANDS,0,1,8,16,32,56,29,0,75,"1,159","1,320"
Central African Republic,CHL,AFRICA,0,0,8,6,26,40,25,0,48,"1,379","1,492"
Chad,CHN,AFRICA,1,1,11,5,26,42,20,0,13,835,911
Chile,NA,SOUTH AMERICA,0,1,18,52,78,148,77,0,222,"1,208","1,656"
China,NA,ASIA,1,5,85,152,283,520,232,1,962,"3,997","5,717"
Christmas Island,COL,OCEANIA,2,6,2,9,30,41,29,0,32,855,963
Cocos (Keeling) Islands,NA,OCEANIA,0,0,0,8,29,37,26,0,35,770,868
Colombia,COG,SOUTH AMERICA,0,1,108,206,322,636,250,2,643,"4,943","6,475"
Comoros,COD,AFRICA,0,0,4,26,84,114,107,0,80,"1,240","1,541"
Congo,NA,AFRICA,0,0,9,18,66,93,43,0,150,"2,011","2,297"
"Congo, The Democratic Republic of the",CRI,AFRICA,0,0,29,68,145,242,91,0,434,"3,600","4,367"
Cook Islands,NA,OCEANIA,0,15,0,12,52,64,51,1,51,935,"1,117"
Costa Rica,HRV,NORTH AMERICA,0,3,31,57,119,207,101,0,251,"3,162","3,724"
Côte d'Ivoire,CUB,AFRICA,0,0,16,32,93,141,92,0,145,"2,006","2,384"
Croatia,NA,EUROPE,0,1,30,38,104,172,100,0,123,"1,193","1,589"
Cuba,CYP,CARIBBEAN ISLANDS,0,7,34,59,81,174,58,0,150,"1,718","2,107"
Curaçao,CZE,CARIBBEAN ISLANDS,0,0,5,11,34,50,17,0,75,"1,081","1,223"
Cyprus,DNK,ASIA,0,0,8,19,32,59,37,0,64,646,806
Czechia,NA,EUROPE,0,0,3,9,31,43,55,0,40,690,828
Denmark,DJI,EUROPE,0,0,6,7,33,46,45,0,35,669,795
Disputed Territory,NA,ASIA,0,0,0,1,7,8,2,0,27,912,949
Djibouti,DOM,AFRICA,0,0,8,15,83,106,121,0,104,"1,361","1,692"
Dominica,EQU,CARIBBEAN ISLANDS,0,1,7,14,37,58,28,0,80,"1,291","1,458"
Dominican Republic,EGY,CARIBBEAN ISLANDS,0,9,28,57,66,151,51,0,87,"1,436","1,734"
Ecuador,SLV,SOUTH AMERICA,0,8,98,147,266,511,205,2,405,"3,270","4,401"
Egypt,GNQ,AFRICA,1,2,10,27,124,161,135,2,168,"1,673","2,141"
El Salvador,ERI,NORTH AMERICA,0,0,3,21,36,60,49,0,99,"1,539","1,747"
Equatorial Guinea,EST,AFRICA,0,0,11,28,53,92,38,0,117,"1,589","1,836"
Eritrea,NA,AFRICA,0,0,12,19,101,132,135,0,113,"1,532","1,912"
Estonia,ETH,EUROPE,0,0,2,4,16,22,30,0,9,502,563
Eswatini,FLK,AFRICA,0,0,4,6,18,28,22,0,6,769,825
Ethiopia,NA,AFRICA,0,0,17,38,59,114,43,0,63,"1,364","1,584"
Falkland Islands (Malvinas),FJI,SOUTH AMERICA,0,1,0,6,11,17,12,0,19,261,310
Faroe Islands,FIN,EUROPE,0,1,2,3,18,23,12,0,21,292,349
Fiji,FRA,OCEANIA,0,1,26,43,153,222,156,3,123,"1,684","2,189"
Finland,NA,EUROPE,0,0,4,3,22,29,39,0,15,525,608
France,NA,EUROPE,0,7,24,59,161,244,160,0,296,"1,873","2,580"
French Guiana,ATF,SOUTH AMERICA,0,0,4,10,45,59,48,1,104,"1,973","2,185"
French Polynesia,GAB,OCEANIA,11,70,38,24,67,129,63,2,103,"1,196","1,563"
French Southern Territories,GMB,ANTARCTICA,0,1,2,11,15,28,8,0,48,854,939
Gabon,GEO,AFRICA,0,0,9,30,71,110,44,0,172,"2,046","2,372"
Gambia,DEU,AFRICA,0,0,12,12,46,70,46,0,115,"1,508","1,739"
Georgia,GHA,ASIA,0,0,7,10,40,57,46,0,21,575,699
Germany,NA,EUROPE,0,4,16,26,60,102,85,0,85,919,"1,195"
Ghana,GRC,AFRICA,0,0,17,23,85,125,78,0,139,"2,097","2,439"
Gibraltar,GRL,EUROPE,0,0,2,6,24,32,20,0,39,525,616
Greece,NA,EUROPE,0,4,74,108,250,432,163,0,263,"1,515","2,377"
Greenland,NA,EUROPE,0,1,1,6,17,24,9,0,21,207,262
Grenada,NA,CARIBBEAN ISLANDS,0,0,6,12,35,53,23,0,77,"1,219","1,372"
Guadeloupe,GTM,CARIBBEAN ISLANDS,0,7,10,17,42,69,31,0,79,"1,208","1,394"
Guam,NA,OCEANIA,2,7,6,21,71,98,90,2,109,"1,129","1,435"
Guatemala,GIN,NORTH AMERICA,0,1,38,65,95,198,84,0,186,"2,683","3,152"
Guernsey,GNB,EUROPE,0,0,1,0,5,6,3,0,13,189,211
Guinea,GUY,AFRICA,0,0,17,37,98,152,87,0,164,"1,994","2,397"
Guinea-Bissau,HTI,AFRICA,0,0,9,15,53,77,49,0,116,"1,495","1,737"
Guyana,NA,SOUTH AMERICA,0,0,4,22,58,84,60,2,121,"2,156","2,423"
Haiti,NA,CARIBBEAN ISLANDS,0,10,53,51,65,169,51,0,83,"1,382","1,695"
Heard Island and McDonald Islands,HND,ANTARCTICA,0,0,0,4,8,12,2,0,8,115,137
Holy See (Vatican City State),NA,EUROPE,0,0,0,0,1,1,4,0,2,23,30
Honduras,HUN,NORTH AMERICA,0,3,43,58,83,184,86,0,179,"2,881","3,333"
Hong Kong,ISL,ASIA,0,0,8,19,33,60,29,1,93,811,994
Hungary,IND,EUROPE,0,0,5,14,41,60,55,0,48,678,841
Iceland,IDN,EUROPE,0,1,3,7,19,29,19,0,31,345,425
India,IRN,ASIA,0,0,89,206,387,682,324,2,821,"4,109","5,938"
Indonesia,IRQ,ASIA,0,2,148,241,574,963,573,4,"1,114","5,510","8,166"
"Iran, Islamic Republic of",IRL,ASIA,1,1,21,33,88,142,99,0,146,"1,575","1,963"
Iraq,NA,ASIA,0,0,10,16,49,75,68,0,41,891,"1,075"
Ireland,ISR,EUROPE,0,1,8,9,33,50,33,0,71,753,908
Isle of Man,ITA,EUROPE,0,0,1,0,1,2,1,0,7,75,85
Israel,JAM,ASIA,0,4,18,41,118,177,135,0,138,"1,522","1,976"
Italy,JPN,EUROPE,0,2,44,93,176,313,198,0,264,"1,599","2,376"
Jamaica,NA,CARIBBEAN ISLANDS,0,3,22,35,49,106,41,0,88,"1,303","1,541"
Japan,JOR,ASIA,1,14,37,120,242,399,261,3,499,"3,048","4,224"
Jersey,KAZ,EUROPE,0,0,1,0,6,7,2,0,13,195,217
Jordan,KEN,ASIA,0,0,4,24,88,116,117,0,84,"1,179","1,496"
Kazakhstan,NA,ASIA,1,1,14,13,39,66,38,0,51,689,845
Kenya,KOR,AFRICA,0,2,47,61,160,268,181,2,247,"3,182","3,882"
Kiribati,PRK,OCEANIA,0,1,0,13,92,105,118,3,62,"1,171","1,460"
"Korea, Democratic People's Republic of",KWT,ASIA,0,1,7,17,42,66,35,0,85,666,853
"Korea, Republic of",KGZ,ASIA,0,1,9,27,54,90,44,0,121,"1,161","1,417"
Kuwait,LAO,ASIA,0,1,6,14,36,56,55,0,32,709,853
Kyrgyzstan,LVA,ASIA,0,0,1,7,22,30,24,0,12,418,484
Lao People's Democratic Republic,LBN,ASIA,0,1,33,52,100,185,93,0,220,"1,506","2,005"
Latvia,LSO,EUROPE,0,0,2,4,24,30,40,0,17,542,629
Lebanon,LBR,ASIA,0,0,6,24,45,75,41,0,69,713,898
Lesotho,LBY,AFRICA,0,0,0,6,10,16,19,0,3,371,409
Liberia,NA,AFRICA,0,0,17,35,72,124,78,0,134,"1,763","2,099"
Libya,LTU,AFRICA,1,1,7,15,39,61,28,0,68,681,839
Liechtenstein,LUX,EUROPE,0,0,0,1,7,8,24,0,7,388,427
Lithuania,NA,EUROPE,0,0,2,3,21,26,35,0,16,526,603
Luxembourg,NA,EUROPE,0,0,2,3,6,11,24,0,13,441,489
Macao,MWI,ASIA,0,0,1,7,8,16,4,0,24,282,326
Madagascar,MYS,AFRICA,0,13,134,307,308,749,276,2,407,"2,220","3,667"
Malawi,NA,AFRICA,0,1,28,25,35,88,65,0,57,"1,474","1,685"
Malaysia,MLI,ASIA,0,1,89,138,398,625,404,3,469,"3,740","5,242"
Maldives,NA,ASIA,0,0,4,15,60,79,92,2,69,"1,242","1,484"
Mali,NA,AFRICA,1,1,6,6,25,37,24,0,8,964,"1,034"
Malta,NA,EUROPE,0,0,5,6,25,36,26,0,41,558,661
Marshall Islands,MRT,OCEANIA,0,0,0,10,91,101,119,3,65,"1,239","1,527"
Martinique,NA,CARIBBEAN ISLANDS,0,6,8,10,29,47,25,0,67,"1,193","1,338"
Mauritania,NA,AFRICA,1,1,11,18,60,89,50,0,127,"1,423","1,690"
Mauritius,MEX,AFRICA,0,44,15,40,120,175,115,2,120,"1,367","1,823"
Mayotte,NA,AFRICA,0,5,1,15,78,94,106,0,63,"1,109","1,377"
Mexico,MDA,NORTH AMERICA,9,30,210,308,331,849,210,1,642,"4,688","6,420"
"Micronesia, Federated States of",NA,OCEANIA,0,2,4,23,136,163,146,3,127,"1,528","1,969"
Moldova,MNG,ASIA,0,1,5,4,22,31,35,0,6,436,509
Monaco,MNE,EUROPE,0,0,3,3,16,22,10,0,26,386,444
Mongolia,NA,ASIA,0,0,5,11,24,40,29,0,7,518,594
Montenegro,MAR,EUROPE,0,1,13,29,55,97,87,0,82,968,"1,235"
Montserrat,MOZ,CARIBBEAN ISLANDS,0,0,7,10,36,53,21,0,63,"1,159","1,296"
Morocco,MMR,AFRICA,0,2,25,58,89,172,82,0,181,"1,431","1,868"
Mozambique,NAM,AFRICA,0,1,21,42,144,207,180,2,217,"3,044","3,651"
Myanmar,NA,ASIA,0,0,34,71,169,274,260,3,420,"3,065","4,022"
Namibia,NEP,AFRICA,0,1,8,25,55,88,50,0,108,"1,735","1,982"
Nauru,NLD,OCEANIA,0,0,0,7,76,83,111,0,44,952,"1,190"
Nepal,NCL,ASIA,0,0,14,22,52,88,69,0,65,"1,266","1,488"
Netherlands,NZL,EUROPE,0,1,6,3,31,40,50,0,40,737,868
New Caledonia,NIC,OCEANIA,0,5,37,48,158,243,155,3,182,"2,020","2,608"
New Zealand,NER,OCEANIA,0,23,40,73,110,223,65,0,208,980,"1,499"
Nicaragua,NGA,NORTH AMERICA,0,1,9,25,70,104,76,0,196,"2,797","3,174"
Niger,NA,AFRICA,1,1,5,5,23,33,23,0,5,722,784
Nigeria,NA,AFRICA,1,1,21,39,104,164,75,0,153,"2,426","2,819"
Niue,MKD,OCEANIA,0,0,0,10,43,53,53,0,38,814,958
Norfolk Island,NA,OCEANIA,0,8,2,9,33,44,29,0,25,554,660
North Macedonia,NOR,EUROPE,0,2,19,34,67,120,60,0,50,714,946
Northern Mariana Islands,OMN,OCEANIA,0,2,7,18,71,96,89,3,73,"1,195","1,458"
Norway,PAK,EUROPE,0,0,5,9,39,53,47,0,32,648,780
Oman,NA,ASIA,0,0,9,27,66,102,91,0,120,"1,464","1,777"
Pakistan,NA,ASIA,0,0,17,35,84,136,97,0,82,"1,567","1,882"
Palau,PAN,OCEANIA,0,1,27,30,124,181,145,4,110,"1,730","2,171"
"Palestine, State of",PNG,ASIA,0,0,3,11,15,29,23,0,20,358,430
Panama,PRY,NORTH AMERICA,0,0,32,53,98,183,106,0,331,"3,271","3,891"
Papua New Guinea,PER,OCEANIA,0,1,22,51,271,344,258,3,463,"3,497","4,566"
Paraguay,PHL,SOUTH AMERICA,3,3,6,9,29,44,56,0,33,"1,025","1,161"
Peru,NA,SOUTH AMERICA,0,1,45,145,203,393,199,2,491,"3,624","4,710"
Philippines,POL,ASIA,0,0,48,105,371,524,330,5,519,"3,328","4,706"
Pitcairn,PRT,OCEANIA,0,0,0,7,28,35,25,1,31,484,576
Poland,PRI,EUROPE,0,1,2,12,37,51,59,0,35,739,885
Portugal,QAT,EUROPE,0,6,93,85,128,306,118,0,280,"1,660","2,370"
Puerto Rico,NA,CARIBBEAN ISLANDS,0,5,15,21,40,76,37,0,90,"1,464","1,672"
Qatar,ROU,ASIA,0,0,9,9,32,50,54,0,22,627,753
Réunion,RUS,AFRICA,0,20,7,24,87,118,100,0,89,"1,198","1,525"
Romania,RWA,EUROPE,0,2,17,26,75,118,76,0,74,912,"1,182"
Russian Federation,NA,ASIA,1,4,26,47,104,177,110,0,220,"1,591","2,102"
Rwanda,NA,AFRICA,0,1,11,11,34,56,34,0,19,"1,003","1,113"
Saint Barthélemy,NA,CARIBBEAN ISLANDS,0,0,4,10,25,39,11,0,39,797,886
"Saint Helena, Ascension and Tristan da Cunha",NA,AFRICA,0,28,31,44,36,111,13,0,55,579,786
Saint Kitts and Nevis,NA,CARIBBEAN ISLANDS,0,1,7,10,36,53,26,0,73,"1,217","1,370"
Saint Lucia,NA,CARIBBEAN ISLANDS,0,3,7,16,36,59,28,0,68,"1,263","1,421"
Saint Martin (French part),NA,CARIBBEAN ISLANDS,0,0,7,11,35,53,15,0,70,"1,025","1,163"
Saint Pierre and Miquelon,NA,NORTH AMERICA,0,0,1,4,11,16,15,0,18,388,437
Saint Vincent and the Grenadines,NA,CARIBBEAN ISLANDS,0,1,6,13,36,55,26,0,73,"1,280","1,435"
Samoa,NA,OCEANIA,0,0,3,17,73,93,86,3,79,"1,258","1,519"
San Marino,SAU,EUROPE,0,0,0,0,1,1,5,0,4,65,75
Sao Tome and Principe,SEN,AFRICA,0,0,6,18,31,55,18,0,101,730,904
Saudi Arabia,SRB,ASIA,0,1,10,26,101,137,141,2,140,"1,502","1,923"
Senegal,NA,AFRICA,1,1,14,26,79,119,64,0,158,"1,833","2,175"
Serbia,SLE,EUROPE,0,0,9,11,50,70,67,0,30,814,981
Seychelles,NA,AFRICA,0,20,84,154,147,385,120,2,110,"1,488","2,125"
Sierra Leone,NA,AFRICA,0,0,13,33,72,118,74,0,146,"1,818","2,156"
Singapore,SVK,ASIA,0,1,19,31,200,250,222,3,151,"1,692","2,319"
Sint Maarten (Dutch part),SVN,CARIBBEAN ISLANDS,0,0,7,11,35,53,14,0,62,"1,005","1,134"
Slovakia,SLB,EUROPE,0,0,5,11,37,53,62,0,45,708,868
Slovenia,SOM,EUROPE,0,0,6,24,106,136,58,0,85,"1,066","1,345"
Solomon Islands,ZAF,OCEANIA,0,2,12,29,186,227,195,3,141,"2,052","2,620"
Somalia,NA,AFRICA,0,0,11,25,102,138,143,0,179,"2,158","2,618"
South Africa,SDS,AFRICA,0,6,68,142,240,450,189,2,333,"3,233","4,213"
South Georgia and the South Sandwich Islands,ESP,ANTARCTICA,0,0,0,4,5,9,6,0,11,183,209
South Sudan,LKA,AFRICA,0,0,5,11,24,40,21,0,22,"1,104","1,187"
Spain,SDN,EUROPE,0,2,70,131,229,430,277,0,506,"2,142","3,357"
Sri Lanka,SUR,ASIA,0,20,69,99,136,304,169,8,167,"1,876","2,544"
Sudan,NA,AFRICA,1,1,14,20,98,132,129,0,129,"2,070","2,461"
Suriname,SWE,SOUTH AMERICA,0,0,2,11,45,58,56,0,104,"2,032","2,250"
Svalbard and Jan Mayen,CHE,EUROPE,0,0,0,1,9,10,7,0,4,75,96
Sweden,SYR,EUROPE,0,0,4,6,34,44,52,0,34,667,797
Switzerland,TWN,EUROPE,0,6,3,15,51,69,71,0,59,763,968
Syrian Arab Republic,TJK,ASIA,0,1,15,34,64,113,53,0,88,842,"1,097"
"Taiwan, Province of China",TZA,ASIA,0,0,15,49,199,263,209,2,307,"2,728","3,509"
Tajikistan,THA,ASIA,0,0,3,7,25,35,20,0,20,423,498
"Tanzania, United Republic of",TLS,AFRICA,1,3,122,139,252,513,217,0,350,"3,774","4,857"
Thailand,TGO,ASIA,0,2,52,103,332,487,365,2,528,"3,765","5,149"
Timor-Leste,NA,ASIA,0,0,7,12,13,32,32,0,56,"1,214","1,334"
Togo,NA,AFRICA,0,0,12,12,53,77,46,0,109,"1,733","1,965"
Tokelau,TTO,OCEANIA,0,0,0,7,44,51,57,2,39,827,976
Tonga,TUN,OCEANIA,0,2,3,14,58,75,68,3,61,"1,325","1,534"
Trinidad and Tobago,TUR,CARIBBEAN ISLANDS,0,0,8,14,48,70,37,1,94,"1,849","2,051"
Tunisia,TKM,AFRICA,0,11,12,24,55,91,47,0,99,843,"1,091"
Turkey,NA,ASIA,0,4,65,103,126,294,105,0,191,"1,277","1,871"
Turkmenistan,NA,ASIA,1,1,11,12,32,55,28,0,35,544,663
Turks and Caicos Islands,UGA,CARIBBEAN ISLANDS,0,0,6,11,37,54,25,0,69,"1,179","1,327"
Tuvalu,UKR,OCEANIA,0,0,0,11,87,98,114,3,50,"1,010","1,275"
Uganda,ARE,AFRICA,0,0,48,32,76,156,59,0,125,"1,793","2,133"
Ukraine,GBR,ASIA,0,2,11,25,55,91,68,0,75,867,"1,103"
United Arab Emirates,USA,ASIA,0,0,8,18,38,64,59,0,55,984,"1,162"
United Kingdom,NA,EUROPE,0,2,11,18,57,86,59,0,81,965,"1,193"
United States,URY,NORTH AMERICA,4,241,214,284,562,"1,060",342,5,648,"5,453","7,749"
United States Minor Outlying Islands,UZB,OCEANIA,0,1,3,6,62,71,73,1,52,"1,139","1,337"
Uruguay,VUT,SOUTH AMERICA,0,2,10,20,58,88,51,0,75,921,"1,137"
Uzbekistan,VEN,ASIA,0,0,9,8,29,46,27,0,19,467,559
Vanuatu,VNM,OCEANIA,0,1,1,20,109,130,137,3,96,"1,656","2,023"
"Venezuela, Bolivarian Republic of",NA,SOUTH AMERICA,0,1,33,82,142,257,122,1,347,"3,521","4,249"
Viet Nam,NA,ASIA,0,1,65,132,267,464,255,2,643,"3,190","4,555"
"Virgin Islands, British",NA,CARIBBEAN ISLANDS,0,0,12,12,38,62,25,0,78,"1,240","1,405"
"Virgin Islands, U.S.",ESH,CARIBBEAN ISLANDS,0,1,9,12,29,50,26,0,76,"1,213","1,366"
Wallis and Futuna,YEM,OCEANIA,0,0,2,9,77,88,94,0,51,"1,110","1,343"
Western Sahara,ZMB,AFRICA,1,1,4,13,33,50,32,0,108,916,"1,107"
Yemen,ZWE,ASIA,0,2,8,28,110,146,152,0,169,"1,767","2,236"
Zambia,,AFRICA,0,0,10,21,39,70,43,0,69,"1,763","1,945"
Zimbabwe,,AFRICA,0,0,9,13,29,51,32,0,25,"1,285","1,393"
